사업장명,지번주소,전화번호,업태구분명,위생업태명,좌석수,도로명주소,소재지우편번호,인허가일자
유니아헤어 개봉본점,서울특별시 구로구 개봉동 171-15번지 금정빌딩 2층 ,,기타,종합미용업,4,"서울특별시 구로구 개봉로23가길 31 (개봉동,금정빌딩 2층)",152-806,2012-01-03
ANNAEYELASH(안나아이래쉬),서울특별시 구로구 개봉동 261-16번지 ,220604450,기타,피부미용업,0,서울특별시 구로구 개봉로18길 10 (개봉동),152-810,2017-04-03
라보떼래쉬,서울특별시 영등포구 영등포동3가 10-15번지 대선빌딩 6층 ,02  26717716,기타,피부미용업,5,"서울특별시 영등포구 영중로2길 1, 6층 (영등포동3가)",150-033,2015-07-06
투 세븐 네일,서울특별시 서초구 반포동 128-7번지 사평역 지하 1층 7호,,기타,"피부미용업, 네일미용업",5,"서울특별시 서초구 사평대로 지하 285, 지하 1층 7호 (반포동, 사평역)",137-040,2016-01-12
에셀나무,서울특별시 서초구 방배동 462-6번지 제1층 102호,,기타,종합미용업,2,"서울특별시 서초구 청두곶길 38-3, 제1층 102호 (방배동)",137-819,2013-03-25
MARON(마론),서울특별시 서초구 반포동 717-6번지 1층 ,,기타,일반미용업,6,"서울특별시 서초구 주흥13길 13-1, 1층 (반포동)",137-809,2014-03-14
양에스테틱,서울특별시 서초구 서초동 1666-1번지 302호,02 5933543,기타,종합미용업,2,"서울특별시 서초구 서초대로54길 33, 302호 (서초동)",137-881,2003-01-01
헤어살롱 소프레사,서울특별시 서초구 방배동 436-3번지 102호,02 5254029,기타,"일반미용업, 네일미용업",5,"서울특별시 서초구 방배천로18길 32, 102호 (방배동, 방배코너스톤)",137-817,1995-05-17
샤론스킨앤바디,"서울특별시 서초구 서초동 1445-3번지 국제전자센터 11층 36호,37호 ",02  21156321,기타,종합미용업,3,"서울특별시 서초구 효령로 304, 11층 36호,37호 (서초동, 국제전자센터)",137-728,2010-10-27
엘리스,"서울특별시 서초구 서초동 1642-1번지 ,2호 1층 1호",,기타,일반미용업,3,"서울특별시 서초구 사임당로17길 68, 1층 1호 (서초동)",137-070,2009-04-06
MOONSTAR NAIL(문스타 네일),서울특별시 서초구 양재동 279-4번지 1층 ,,기타,"피부미용업, 네일미용업",2,"서울특별시 서초구 언남17길 7, 1층 (양재동)",137-895,2015-09-25
로쉬,서울특별시 서초구 서초동 1451-34번지 지하 2층 ,02  20551113,기타,"일반미용업, 피부미용업",3,"서울특별시 서초구 반포대로 22, 지하 2층 (서초동)",137-927,2009-05-28
퀸즈헤나 염색,서울특별시 서초구 서초동 1332-7번지 삼정빌딩 102호,,기타,일반미용업,2,"서울특별시 서초구 사임당로 139, 102호 (서초동, 삼정빌딩)",137-859,2015-01-27
까뜨린느 미용실,서울특별시 서초구 양재동 20-24번지 2층 2호,34732440,기타,종합미용업,5,"서울특별시 서초구 강남대로 160-2, 2층 2호 (양재동)",137-888,2014-11-25
여우눈썹,서울특별시 강남구 대치동 890-59번지 ,055 381 8581,기타,종합미용업,2,"서울특별시 강남구 선릉로86길 31, 지상2층 204호 (대치동, 선릉역 롯데골드로즈2)",135-839,2014-04-23
자매헤어센스,서울특별시 강남구 개포동 186-7번지 대화빌딩 201호 ,02  445 3589,기타,종합미용업,4,"서울특별시 강남구 개포로82길 13-17 (개포동,대화빌딩 201호)",135-994,2009-05-26
컷트세상,서울특별시 강남구 역삼동 799-21번지 .지상1층 ,02  561 6011,기타,종합미용업,4,"서울특별시 강남구 도곡로 175 (역삼동,.지상1층)",135-930,2010-12-16
이후헤어작품실,서울특별시 강남구 역삼동 788-22번지 .지상1층 ,02  558 1665,기타,종합미용업,3,"서울특별시 강남구 도곡로25길 10 (역삼동,.지상1층)",135-515,2010-11-11
휴나헤어,서울특별시 강남구 대치동 990번지 지상1층106호 ,,기타,종합미용업,5,"서울특별시 강남구 도곡로 516 (대치동,지상1층106호)",135-501,2011-08-08
지모먼트 헤어살롱,서울특별시 강남구 청담동 12-20번지 지상1층 ,02  516 5274,기타,종합미용업,3,"서울특별시 강남구 도산대로78길 24 (청담동,지상1층)",135-949,2010-10-22
소민 헤어뷰티,서울특별시 강남구 청담동 38-27번지 지하1층 ,02  516 6617,기타,종합미용업,7,"서울특별시 강남구 학동로55길 12, 지하1층 (청담동)",135-951,2011-03-18
헤어힐링랩,서울특별시 강남구 역삼동 761-19번지 ,02  556 0382,기타,종합미용업,2,"서울특별시 강남구 언주로 314, 지하1층 119호 (역삼동, 강남프라자)",135-927,2011-06-27
마르지아 뷰티센터,서울특별시 강남구 대치동 507-2번지 대치퍼스트상가 지하1층119호 ,,기타,종합미용업,3,"서울특별시 강남구 삼성로 155 (대치동,대치퍼스트상가 지하1층119호)",135-836,2011-08-05
휘오레블룸,서울특별시 강남구 신사동 648-6번지 휘오레 ,02   5125525,기타,종합미용업,15,"서울특별시 강남구 도산대로49길 23, 휘오레 지상2,3층 (신사동)",135-896,2010-12-07
아지트포유,서울특별시 강남구 역삼동 702-13번지 ,,기타,종합미용업,4,"서울특별시 강남구 테헤란로 313, 1층 109호 (역삼동)",135-513,2017-08-01
청담111,서울특별시 강남구 청담동 1-11번지 지하1층~지상2층 ,,기타,종합미용업,12,"서울특별시 강남구 도산대로56길 12 (청담동,지하1층~지상2층)",135-948,2011-08-24
헤어살롱 시월,서울특별시 강남구 역삼동 691-5번지 ,,기타,종합미용업,5,"서울특별시 강남구 봉은사로48길 44-13, 지하1층 B101호 (역삼동)",135-917,2011-08-26
제이아띠헤어,서울특별시 강남구 일원동 734번지 상록수상가1층125호 ,02  445 1221,기타,종합미용업,4,"서울특별시 강남구 광평로10길 15 (일원동,상록수상가1층125호)",135-947,2011-04-18
골든네일,서울특별시 강남구 삼성동 117번지 ,,기타,"피부미용업, 네일미용업",6,"서울특별시 강남구 봉은사로 474, 2층 206호 (삼성동, 쌍용플래티넘)",135-509,2015-03-24
헤어뷰2,서울특별시 강남구 대치동 891-6번지 ,5582985,기타,종합미용업,4,서울특별시 강남구 테헤란로 428 (대치동),135-840,2010-04-05
헤어살롱 봄,서울특별시 강남구 개포동 158-7번지 ,02  63386080,기타,"일반미용업, 네일미용업",3,"서울특별시 강남구 선릉로4길 17, 지상2층 201호 (개포동)",135-802,2015-04-10
헤어닥터제이(J),서울특별시 강남구 개포동 1218-28번지 ,,기타,"일반미용업, 네일미용업",4,"서울특별시 강남구 개포로22길 11, 1층 (개포동)",135-962,2015-05-28
블룸네일(BLOOM NAIL),서울특별시 강남구 역삼동 664-12번지 ,02  565 4141,기타,"일반미용업, 네일미용업",3,"서울특별시 강남구 언주로97길 28, 1층 102호 (역삼동)",135-914,2015-12-23
이엠(EM)네일,서울특별시 강남구 대치동 316번지 ,,기타,"피부미용업, 네일미용업",2,"서울특별시 강남구 삼성로 212, B블럭2층 216호 (대치동, 은마종합상가)",135-835,2016-01-06
네일라운드,서울특별시 송파구 방이동 210-1번지 ,02  428 4488,기타,"피부미용업, 네일미용업",3,"서울특별시 송파구 마천로 1, 106동 101호 (방이동, 보람파크빌)",138-835,2016-03-11
태후사랑,서울특별시 강동구 암사동 400-5번지 강동현대홈타운 113호,,기타,"일반미용업, 피부미용업",4,"서울특별시 강동구 고덕로27길 28, 113호 (암사동, 강동현대홈타운)",134-764,2011-11-24
해피네일데이(HAPPY NAILDAY),서울특별시 종로구 명륜2가 20-1번지 ,,네일아트업,네일미용업,2,"서울특별시 종로구 창경궁로34길 18-4, 3층 (명륜2가)",110-522,2017-04-20
네일해요,,,네일아트업,네일미용업,2,"서울특별시 종로구 종로44길 9, 2층 (창신동)",,2016-11-04
네일 하루(Nail Haru),서울특별시 종로구 묘동 28번지 ,,네일아트업,네일미용업,2,"서울특별시 종로구 돈화문로8길 20, 5층 603호 (묘동, 삼오빌딩)",110-370,2015-07-15
살롱드소피,서울특별시 종로구 내수동 72번지 ,02  739 1357,네일아트업,네일미용업,0,"서울특별시 종로구 사직로8길 34, 상가동 1층 135호 (내수동, 경희궁아침3단지)",110-070,2017-09-12
폭시네일,서울특별시 종로구 창신동 1-83번지 ,,네일아트업,네일미용업,2,"서울특별시 종로구 동망산길 13, 2층 (창신동)",110-861,2016-07-12
꾸밈,,02  733 7942,네일아트업,네일미용업,3,"서울특별시 종로구 새문안로5길 13, 지하1층 36호 (당주동)",,2016-12-08
"이다(i-da,꽃소니네일)",서울특별시 종로구 연건동 80-2번지 2층 ,,네일아트업,네일미용업,3,"서울특별시 종로구 대학로5길 8, 2층 (연건동)",110-460,2018-01-04
별에서온 네일,서울특별시 종로구 평창동 152-2번지 ,02  379 9486,네일아트업,네일미용업,3,"서울특별시 종로구 평창문화로 94, 1층 (평창동)",110-847,2015-05-21
찰스네일,서울특별시 종로구 관철동 14-11번지 3층 ,02  730 4179,네일아트업,일반미용업,5,"서울특별시 종로구 종로12길 9 (관철동,3층)",110-111,2011-06-17
페이브 네일 스튜디오,서울특별시 종로구 사직동 9번지 광화문풍림스페이스본 ,02  7239936,네일아트업,네일미용업,6,"서울특별시 종로구 사직로8길 4, 301동 지하1층 110호 (사직동, 광화문풍림스페이스본)",110-054,2018-03-05
와이키키,서울특별시 종로구 명륜2가 176번지 ,02  762 0727,네일아트업,"피부미용업, 네일미용업, 화장ㆍ분장 미용업",1,"서울특별시 종로구 창경궁로 248-4, 2층 (명륜2가)",110-522,2017-09-07
아따걸네일,서울특별시 종로구 혜화동 185번지 중원빌딩 214/215호 ,7081083735,네일아트업,종합미용업,3,"서울특별시 종로구 대학로 144, 214/215호 (혜화동, 중원빌딩)",110-530,2012-11-30
네일그리미,,,네일아트업,네일미용업,10,"서울특별시 종로구 청계천로 57, 3층 (관철동)",,2018-07-30
드로잉 쇼,서울특별시 중구 명동2가 98번지 외4필지 2층 ,02  777 1090,네일아트업,일반미용업,4,"서울특별시 중구 남대문로 58-1, 2층 (명동2가)",100-810,2011-05-11
티파니,서울특별시 중구 충무로1가 52-4번지 ,,네일아트업,네일미용업,6,"서울특별시 중구 소공로 지하 58 (충무로1가, 회현지하상가 나열 14호)",100-011,2016-05-17
치즈네일,서울특별시 중구 흥인동 158-8번지 401호,,네일아트업,네일미용업,4,"서울특별시 중구 다산로47길 26, 401호 (흥인동)",100-880,2015-12-21
MOMO NAIL & BEAUTY,서울특별시 중구 신당동 353-97번지 주언빌딩 1층 ,,네일아트업,네일미용업,5,"서울특별시 중구 동호로11길 53, 주언빌딩 1층 (신당동)",100-828,2018-06-25
코코네일,서울특별시 중구 태평로2가 69-15번지 덕제빌딩 302호,02 85766898,네일아트업,네일미용업,3,"서울특별시 중구 세종대로 70, 덕제빌딩 3층 302호 (태평로2가)",100-864,2018-05-18
빈네일,서울특별시 중구 신당동 294-67번지 1층 ,,네일아트업,네일미용업,5,"서울특별시 중구 청구로 65, 1층 (신당동)",100-824,2016-06-20
더 네일 인명동(the NAIL inMYEONGDONG),서울특별시 중구 충무로1가 25-49번지 동영빌딩 301호,,네일아트업,"일반미용업, 네일미용업",4,"서울특별시 중구 명동2길 56-1, 301호 (충무로1가, 동영빌딩)",100-011,2015-03-16
포니네일(PONYs Nail),서울특별시 중구 신당동 154-47번지 1층 ,,네일아트업,네일미용업,5,"서울특별시 중구 퇴계로90길 36, 1층 (신당동)",100-819,2015-11-20
네일애,서울특별시 중구 을지로6가 18-12번지 두산타워 3층 1호 ,233984480,네일아트업,네일미용업,10,"서울특별시 중구 장충단로 275, 3층 1호 (을지로6가, 두산타워)",100-851,2015-11-30
개인의취향,서울특별시 중구 광희동2가 66번지 1층 ,,네일아트업,"일반미용업, 네일미용업",2,"서울특별시 중구 퇴계로 333-1, 1층 (광희동2가)",100-412,2015-12-08
젤하는집,서울특별시 중구 신당동 251-75번지 동인빌딩 402호 ,,네일아트업,네일미용업,6,"서울특별시 중구 다산로47길 42, 동인빌딩 402호 (신당동)",100-889,2017-12-27
크리스탈 손톱,서울특별시 중구 을지로6가 18-12번지 4층 1호 ,,네일아트업,"피부미용업, 네일미용업",4,"서울특별시 중구 장충단로 275 (을지로6가, 4층 1호)",100-851,2016-11-17
트웬티네일,서울특별시 중구 신당동 844번지 남산타운 5상가 308호 ,,네일아트업,"피부미용업, 네일미용업",6,"서울특별시 중구 다산로 32, 5상가동 3층 308호 (신당동, 남산타운)",100-450,2017-03-02
센스네일,서울특별시 중구 황학동 2545번지 롯데캐슬베네치아 1007호 ,,네일아트업,네일미용업,4,"서울특별시 중구 청계천로 400 (황학동, 롯데캐슬베네치아 1007호)",100-440,2017-08-04
네일 싸롱,서울특별시 중구 충무로1가 23-7번지 ,02 7551526,네일아트업,네일미용업,4,"서울특별시 중구 명동8길 48, 2층 (충무로1가)",100-011,2016-01-22
푸딩네일,서울특별시 중구 신당동 844번지 남산타운 스포츠상가 103호,02  22332202,네일아트업,일반미용업,6,"서울특별시 중구 다산로 32, 103호 (신당동, 남산타운 스포츠상가)",100-450,2013-11-04
오니,서울특별시 중구 중림동 188번지 1층 ,,네일아트업,네일미용업,8,"서울특별시 중구 중림로 9, 1층 (중림동)",100-859,2015-07-03
맥스네일,서울특별시 중구 필동2가 16-13번지 3층 ,,네일아트업,종합미용업,3,"서울특별시 중구 퇴계로 204 (필동2가, 3층)",100-272,2017-02-17
네일 인(Nail iN),서울특별시 중구 회현동2가 87번지 ,,네일아트업,"피부미용업, 네일미용업",4,"서울특별시 중구 소공로 46, 113호 (회현동2가, 쌍용남산플래티넘)",100-052,2016-02-05
네사,서울특별시 중구 충무로1가 24-28번지 8층 ,,네일아트업,네일미용업,3,"서울특별시 중구 명동2길 57, 8층 (충무로1가)",100-011,2015-11-02
nail zip,서울특별시 중구 중림동 149번지 성요셉아파트 1층 315호,,네일아트업,네일미용업,2,"서울특별시 중구 서소문로6길 34, 1층 315호 (중림동, 성요셉아파트)",100-858,2018-01-31
나라네일(Nara nail),서울특별시 중구 을지로6가 18-21번지 ,,네일아트업,"일반미용업, 네일미용업",5,"서울특별시 중구 장충단로 247, B2004호 (을지로6가, 굿모닝시티 )",100-851,2014-12-19
네일,서울특별시 중구 을지로2가 1-1번지 을지로지하도상가 340호,,네일아트업,일반미용업,2,"서울특별시 중구 을지로 지하 88, 340호 (을지로2가, 을지로지하도상가)",100-844,2014-03-04
삼층네일,서울특별시 중구 서소문동 14-2번지 302호,,네일아트업,일반미용업,2,"서울특별시 중구 서소문로 139, 302호 (서소문동)",100-813,2014-04-18
더 샵,서울특별시 중구 충무로1가 52-41번지 다열 5호 지하1층 ,,네일아트업,종합미용업,9,"서울특별시 중구 소공로 지하 58 (충무로1가, 다열 5호 지하1층)",100-011,2017-03-08
리네일,서울특별시 용산구 도원동 28번지 ,02  701 7877,네일아트업,네일미용업,2,"서울특별시 용산구 새창로 70, 1층 110호 (도원동)",140-070,2017-09-12
쵸코네일&스킨,서울특별시 용산구 한강로2가 342번지 지하2층 234호,02  749 7795,네일아트업,"피부미용업, 네일미용업",2,"서울특별시 용산구 한강대로 95, 지하2층 234호 (한강로2가)",140-871,2015-12-31
오렌지나무,서울특별시 용산구 한남동 64-1번지 ,,네일아트업,종합미용업,3,"서울특별시 용산구 한남대로20길 13, 1층 (한남동)",140-886,2014-08-13
프로네일,서울특별시 용산구 이태원동 123-5번지 3층 ,02  749 1525,네일아트업,종합미용업,8,"서울특별시 용산구 이태원로27가길 9 (이태원동,3층)",140-858,2010-01-07
네일클로버,서울특별시 용산구 한강로1가 64번지 대우월드마크용산 상가동 111호,7082689579,네일아트업,일반미용업,3,"서울특별시 용산구 한강대로 211, 상가동 111호 (한강로1가, 대우월드마크용산 )",140-011,2013-05-09
뷰리뉼레,서울특별시 용산구 후암동 244-60번지 ,02  37895557,네일아트업,네일미용업,4,"서울특별시 용산구 후암로 28, 1층 (후암동)",140-901,2014-06-24
다교네일,서울특별시 용산구 한남동 828번지 2층 204호,,네일아트업,네일미용업,10,"서울특별시 용산구 독서당로 46, 2층 204호 (한남동)",140-210,2016-02-24
비비네일,서울특별시 용산구 이촌동 300-301번지 삼익상가 지하1층 906호,,네일아트업,네일미용업,2,"서울특별시 용산구 이촌로 264, 지1하층 906호 (이촌동, 삼익상가)",140-852,2015-10-19
러블리핑크네일샵,서울특별시 용산구 청파동3가 24-59번지 2층 ,02 7048470,네일아트업,네일미용업,5,"서울특별시 용산구 청파로45길 27, 2층 (청파동3가)",140-133,2016-03-11
